source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,mg
5937789782797726336,250.4305017096285,-49.94078385906387,-29.762813740217915,-142.18756559900902,11.850508680914752,845.8858,10.545514,11.007891,9.920166,1.0877247,5.914199070537151
5937710480534417408,252.0657844399772,-49.15025713715373,48.59206925863348,0.6387513000375722,11.380568561894561,656.4492,10.255514,10.650307,9.694302,0.9560051,5.5363339425061255
5937687180281456000,252.28035491994603,-49.4364155225644,37.84083312882145,-32.048464074862345,10.468573899465454,437.60495,14.479773,16.051514,13.263697,2.787817,9.579210183508682
5937687974906190848,252.25962931483065,-49.37885862060593,4.250086321439759,-19.277257316090484,12.42829985706462,177.3945,16.715963,18.609352,15.422797,3.186555,12.188021978217087
5937870390749978240,251.53492091601444,-49.270971956546866,10.203505669104043,-24.257646751208796,10.460439001234931,83.6411,17.650814,19.649351,16.27218,3.3771706,12.748563612806645
5937912275265667840,251.44617537383624,-48.88639758095577,-82.1618472829071,-181.0414397354865,10.325118369535119,258.72336,15.680825,16.988153,14.552164,2.4359894,10.750300429504208
5937738311905039488,250.75127108243746,-50.063555341422344,-111.75396202997837,-61.94505326647064,14.413689352763987,867.66516,9.704275,10.128356,9.116744,1.0116119,5.4981509202609615
5404882850710133376,151.1392983988288,-52.763513432263125,-17.289027131053214,-7.145904496218012,11.124994208465566,409.7854,15.459634,16.88668,14.293637,2.5930433,10.691132795032924
5405218682793702784,149.91650826651642,-51.31122957909657,-61.04075529467488,-113.34520692703445,20.235767467656643,928.7602,15.034808,16.66144,13.810066,2.8513737,11.565406559974186
5404796607773819008,149.3484553080773,-52.06315173788316,-54.04256035356684,-3.321037461338891,14.160572657225018,602.4523,15.20987,16.859701,13.976774,2.882927,10.965274421890893
5405009019672307328,150.56613880896768,-51.67484234846385,-105.02611861047987,177.75043008812918,11.242908932323314,262.2086,16.436779,17.95083,15.223923,2.7269077,11.691172486659578
5405253661008528896,149.0689406519054,-51.31952427528868,-50.6474222478016,-10.711571587662782,13.380719941116913,1036.1477,13.68437,14.947022,12.567911,2.3791113,9.316767445886214
